ID,Area,Feature,Description,Release,Status,Spec Reference,Notes
FEAT-001,Identity & Accounts,Troops as account container,"A Camp King account is a ""troop"" — a grouping of associated people represented by profiles set up under it. Holds billing, security, master controls.",v1,Spec'd,00-core.md#troops--profiles,Foundational identity model. Netflix-shape household.
FEAT-002,Identity & Accounts,Single troop leader,Exactly one adult leader per troop in v1. Singleton role; not a set.,v1,Spec'd,00-core.md#roles,Co-leadership deferred (see FEAT-011).
FEAT-003,Identity & Accounts,Sub-profiles under a troop,"Up to 6 sub-profiles per troop in addition to the leader (7 profiles maximum). Leader chooses who gets a sub-profile; no platform-level age classification.",v1,Spec'd,00-core.md#roles,"v1 troop size cap. Larger tier deferred (see FEAT-012)."
FEAT-004,Identity & Accounts,Profile picker on launch,"Avatar grid on app launch; tap to enter profile. Device remembers last-active profile; ""Switch profile"" always one tap.",v1,Spec'd,00-core.md#profile-switching-auth,Netflix-style UX.
FEAT-005,Identity & Accounts,Leader profile PIN,Leader's profile always requires a PIN set at troop creation; resettable via OAuth/OTP identity.,v1,Spec'd,00-core.md#profile-switching-auth,Always-on for leader; sub-profile PINs are optional.
FEAT-006,Identity & Accounts,Optional protected sub-profile PIN,"Leader can mark any sub-profile ""protected"" requiring a PIN to enter. Default not protected.",v1,Spec'd,00-core.md#profile-switching-auth,Flexible per-sub-profile lockdown.
FEAT-007,Identity & Accounts,Per-sub-profile feature gate matrix,"15-row toggle matrix the leader sets per sub-profile (post / forward / contacts / voice / geo / ads / merchant / LiDAR / Camp Atlas / DM / cast / trips, plus always-on block-report).",v1,Spec'd,00-core.md#per-sub-profile-feature-gates,"Block / report is never gateable. Defaults skew restrictive."
FEAT-008,Identity & Accounts,ToS attestation: 13+ all profiles,Troop leader attests at troop creation that every sub-profile user is 13 or older. Standard general-purpose social-platform posture.,v1,Spec'd,00-core.md#audience--branding,No platform-level kids classification; avoids COPPA / GDPR-K scope.
FEAT-009,Identity & Accounts,Troop leader feature gate management UI,Settings panel where the leader flips per-sub-profile feature toggles individually or in bulk.,v1,Spec'd,00-core.md#per-sub-profile-feature-gates,UX implied by gate matrix. Owns the leader→sub-profile control surface.
FEAT-010,Identity & Accounts,Verified-kids tier (COPPA path),"Real under-13 profiles with verified parental consent, data minimisation, App Store / Play Store kids-category rules. Material legal lift.",v2,Deferred,00-core.md#audience--branding,"Mentioned in audience-branding section as deferred. Flag for legal review."
FEAT-011,Identity & Accounts,Co-leadership and ownership transfer,"Two or more adult identities sharing leader privileges; one-way ownership transfer from current leader to another adult identity.",v2,Deferred,00-core.md#deferred-to-v2,"Deferred item 15. Auth / billing / audit-trail implications."
FEAT-012,Identity & Accounts,Larger troops / tiered offering,"Higher-tier troop sized for scout troops, extended families, classrooms. Tiered pricing, larger import quotas, possible federated troops.",v2,Deferred,00-core.md#deferred-to-v2,"Deferred item 16."
FEAT-013,Social Graph & Privacy,Per-profile social graph,"Each profile has its own contact list, mutual-discovery state, feed. Profiles in the same troop do NOT share a social graph by default.",v1,Spec'd,00-core.md#social-graph--privacy,Foundational privacy posture.
FEAT-014,Social Graph & Privacy,Mutual-discovery contact match,"Two profiles see each other in-app only if BOTH uploaded the other's contact info AND both are registered. Profile-pair-keyed.",v1,Spec'd,00-core.md#social-graph--privacy,Drives the dark-green direct-contact border.
FEAT-015,Social Graph & Privacy,One-hop visibility grants,"Per-friend toggle ""let X see who I'm connected to."" Grantee sees registered profiles only, never raw contacts. No further hops. Not transferable across siblings.",v1,Spec'd,00-core.md#social-graph--privacy,Drives the light-green friend-of-friend border.
FEAT-016,Social Graph & Privacy,Contact CSV import,Profile uploads its own address book / CSV; rows are private to the uploader.,v1,Spec'd,00-core.md#verification-cross-platform-end-to-end,"Step 2 of cross-platform verification. Default off for new sub-profiles."
FEAT-017,Social Graph & Privacy,Troop-wide contact sharing,"Leader flicks ""Share with troop"" on individual contacts; sub-profiles see them in a distinct ""Shared by Leader"" segment. Live-revocable; bulk-shareable.",v1,Spec'd,00-core.md#troop-wide-contact-sharing,"First explicit exception to ""raw contacts uploader-only"" invariant."
FEAT-018,Social Graph & Privacy,Privacy invariant: contacts uploader-only + 2 leader exceptions,"Raw uploaded contacts visible only to uploader. Two opt-in per-contact leader exceptions: share-with-troop, share-with-trip.",v1,Spec'd,00-core.md#social-graph--privacy,GDPR / CCPA-defensible posture.
FEAT-019,Trips,Trips section in app navigation,Separate top-level section of the app for multi-troop camping events.,v1,Spec'd,00-core.md#trips,New IA surface alongside the feed.
FEAT-020,Trips,Trip creation by troop leader,"Troop leader creates a trip; required field is a name. Status starts as draft.",v1,Spec'd,00-core.md#lifecycle,Step 1 of trip lifecycle.
FEAT-021,Trips,Trip metadata fields (v1),"Name (required) + description, location_text, start_date, end_date, cover_image_url, status. All others optional.",v1,Spec'd,00-core.md#v1-trip-metadata,"Geo polygons, itineraries, RSVPs etc. deferred (FEAT-033)."
FEAT-022,Trips,Trip lifecycle (draft / active / ended),Trip transitions: draft → active (on first accept) → ended (creator/co-leader marks). Ended is a read-only archive.,v1,Spec'd,00-core.md#lifecycle,Historical trip-shared contacts remain visible after end.
FEAT-023,Trips,Invite other troop leaders to a trip,"Trip creator or co-leader invites other troop leaders by phone / username. Invited troop sits at status=invited until accepted.",v1,Spec'd,00-core.md#lifecycle,"Multi-troop participation entry point."
FEAT-024,Trips,Accept trip invite,Invited troop's leader accepts; their entire troop joins the trip. All sub-profiles become trip members by default (subject to feature gate).,v1,Spec'd,00-core.md#lifecycle,Step 3 of lifecycle.
FEAT-025,Trips,Trip creator role,The single troop leader who created the trip. Full authority over trip settings / invites / lifecycle / co-leader promotion. Non-transferable in v1.,v1,Spec'd,00-core.md#roles-within-a-trip,Transfer mechanics deferred (FEAT-035).
FEAT-026,Trips,Trip co-leader promotion,"Trip creator can promote any joined troop's leader to trip co-leader. Multiple co-leaders permitted. Co-leaders can invite, edit, share, end. Cannot demote creator.",v1,Spec'd,00-core.md#roles-within-a-trip,Trip-scoped only; does NOT grant any access to that troop's master list.
FEAT-027,Trips,Trip-shared contact list,"Each trip has its own shared contact list, separate from troop-shared and from individual contact lists. Visible to all trip members across joined troops.",v1,Spec'd,00-core.md#trip-shared-contact-list,"""Trip contacts: [Trip name]"" segment in member's contact list."
FEAT-028,Trips,Share with this trip toggle,"Any troop leader on the trip flicks ""Share with this trip"" on contacts in their own master list. Bulk share; live-revocable.",v1,Spec'd,00-core.md#trip-shared-contact-list,"Second explicit exception to ""raw contacts uploader-only"" invariant."
FEAT-029,Trips,Sub-profile per-trip visibility override,"Troop's leader can set per-trip ""Trip visibility"" to off for specific sub-profiles. Deselected sub-profile not enumerated to other trip members.",v1,Spec'd,00-core.md#sub-profile-visibility,"Per-trip override on top of the broader ""Trip participation"" feature gate."
FEAT-030,Trips,Trip participation feature gate,"Per-sub-profile gate (default On) controlling whether the sub-profile can join trips at all. Per-trip override sits on top.",v1,Spec'd,00-core.md#per-sub-profile-feature-gates,Row in the feature-gate matrix.
FEAT-031,Trips,Forwarding-gate strictness on trips,"Sub-profile's ""Forward outside the troop"" gate is NOT loosened by trip membership. Other trip members and trip-shared contacts both count as outside.",v1,Spec'd,00-core.md#forwarding-gate-interaction,Keeps leader control uniform across surfaces.
FEAT-032,Trips,Trip privacy boundaries,"Joining a trip does NOT merge troops, share billing, or expose either troop's master contact list / sub-profile roster / feature gates to the other troop.",v1,Spec'd,00-core.md#privacy-boundaries,Hard boundary; load-bearing.
FEAT-033,Trips,Trip features beyond v1 metadata,"Trip-filtered feed views, geo-polygons, itineraries, RSVPs, packing lists, post-trip albums, public / discoverable trips, trip-specific flair frames.",v2,Deferred,00-core.md#deferred-to-v2,Deferred item 17. Each is its own design pass.
FEAT-034,Trips,Trip creator transfer / co-creator,"Transfer trip creator role to a co-leader; or introduce a ""co-creator"" tier with elevated privileges short of full creator status.",v2,Deferred,00-core.md#deferred-to-v2,Deferred item 18.
FEAT-035,Card,Card data model,"Atomic content unit: image_url + caption + sensors + counts + tags + border-derived. Author is a profile_id, not a global user_id.",v1,Spec'd,00-core.md#the-card-data-model,Schema lives in spec. Mock TS types built in M1.
FEAT-036,Card,Image origin enum,"image_origin: camera | gallery | lidar_ai. lidar_ai is iOS Pro only.",v1,Spec'd,00-core.md#the-card-data-model,Drives the LiDAR badge on cards.
FEAT-037,Card,Caption mode: below or overlay,"caption_mode = below renders text under image; = overlay places text on image with x/y/font/color/size from overlay_layout.",v1,Spec'd,00-core.md#the-card-data-model,M1 web renders both modes from mock data.
FEAT-038,Card,Voice clip attached to card,"Optional 15s ambient/voice clip via voice_clip_url. iOS + Android only; web is read-only display.",v1,Spec'd,00-core.md#the-card-data-model,Default off for new sub-profiles.
FEAT-039,Card,Forwarded card chain,"forwarded_from_profile_id captures original author when card is forwarded. Recipient sees forwarded border + sender's username pinned.",v1,Spec'd,00-core.md#the-card-data-model,Field renamed from forwarded_from_user_id when troop refactor landed.
FEAT-040,Card,Engagement counters,"Denormalized counts: bookmark, firewood, match, lol, forward.",v1,Spec'd,00-core.md#the-card-data-model,Updated server-side; read-only on client.
FEAT-041,Card,Border kind derived at render,"7 border kinds derived from social graph + image_origin + author flags. NOT stored.",v1,Spec'd,00-core.md#the-card-data-model,M1 web hard-codes border kinds on mock cards; will derive at render once backend lands.
FEAT-042,Card,Splat Cards (3DGS card type),"New card type: 30–60s walk-around → cloud GPU 3DGS scene → recipients orbit / pan in-feed. Per-post, author-owned.",v2,Deferred,00-core.md#deferred-to-v2,Deferred item 13. Distinct from Camp Atlas (FEAT-090).
FEAT-043,Card Creation,Card creation flow (8 steps),"Tap + → blank template → image source → flair → caption → preview → tag → post.",v1,Spec'd,00-core.md#card-creation-flow,Not yet built; M1 + button stubs to a toast.
FEAT-044,Card Creation,Camping flair frame set,"~12 PNG/SVG decorative overlays (campfire, pine, lantern, hammock, canoe, marshmallow, compass-rose). Composited client-side at upload.",v1,Spec'd,00-core.md#camping-flair-frames,Asset set lives at assets/flair/.
FEAT-045,Card Creation,Caption editor,"1–2 sentence text entry below image. Supports ""Convert to overlay"" (FEAT-046).",v1,Spec'd,00-core.md#card-creation-flow,Step 5 of creation flow.
FEAT-046,Card Creation,Caption overlay editor,"""Convert to overlay"" moves caption onto the image with movable / resizable / font / color controls.",v1,Spec'd,00-core.md#card-creation-flow,Web uses HTML5 Canvas; mobile uses native Reanimated.
FEAT-047,Card Creation,Preview step,Right-arrow → preview the composited card; left-arrow returns to editor.,v1,Spec'd,00-core.md#card-creation-flow,Step 6 of creation flow.
FEAT-048,Card Creation,Tag step (camping locked),v1: single locked chip ""camping"" auto-applied to every card. Schema is array-based.,v1,Spec'd,00-core.md#tagging-v1,Multi-tag system deferred (FEAT-049).
FEAT-049,Card Creation,Additional system tags,"Beyond ""camping"": informative, help, ask, announcement, etc.",v2,Deferred,00-core.md#deferred-to-v2,Deferred item 8.
FEAT-050,Card Creation,Client-side flair compositing at upload,"Image + flair frame composited on device into one final PNG/JPEG. No per-view rendering.",v1,Spec'd,00-core.md#image-hosting--flair-compositing,Web uses Canvas / OffscreenCanvas; mobile native.
FEAT-051,Card Creation,LiDAR fantastical AI render,"iOS Pro only. RGB + depth → composed source → nano banana (Gemini 2.5 Flash Image) → image_origin=lidar_ai. 5 generations / user / day.",v1,Spec'd,20-ios.md#lidar-fantastical-mode-ios-pro-only--premium-fun-feature,Hardware-gated. Only v1 use of nano banana.
FEAT-052,Card Creation,General-purpose AI image generation,Generate cards from a free-text prompt (general nano banana flow).,v2,Deferred,00-core.md#deferred-to-v2,Deferred item 9. v1 has the narrow LiDAR variant only.
FEAT-053,Feed,Horizontal full-screen card swipe,"Each card occupies most of the screen, top-aligned. Swipe / arrow-key advances.",v1,Built (M1 web),00-core.md#feed,M1 web ships this with native CSS scroll-snap.
FEAT-054,Feed,Zoom-out grid view,"Button collapses the feed to ~12 cards on screen; tap a card returns to full-screen on it.",v1,Built (M1 web),00-core.md#feed,M1 web ships this; press 'g' or tap Grid pill.
FEAT-055,Feed,Idle-triggered slideshow,"60 seconds of no interaction → enter slideshow mode. Any user input exits.",v1,Built (M1 web),00-core.md#feed,M1 web ships this. Wake-lock wired on mobile in v1 work to come.
FEAT-056,Feed,Slideshow advance interval,Advance one card every 25 seconds during slideshow.,v1,Built (M1 web),00-core.md#feed,M1 web ships this.
FEAT-057,Feed,Bottom horizontal + create button,Persistent bottom strip with the + button to enter card creation flow.,v1,Built (M1 web),00-core.md#feed,M1 web ships UI; tap stubs to a toast — real flow is FEAT-043.
FEAT-058,Card Interactions,Long-press menu,"Long-press (touch) or right-click (desktop) opens a 4-action menu: firewood / match / bookmark / block-report. ONLY actions without a gesture equivalent.",v1,Built (M1 web),00-core.md#card-interactions-gesture-xor-menu,M1 web ships UI + toast stubs; backend wiring is later v1 work.
FEAT-059,Card Interactions,Swipe-down LOL,Swipe down on a card fires LOL reaction.,v1,Built (M1 web),00-core.md#card-interactions-gesture-xor-menu,M1 web ships gesture detection + pulse + toast.
FEAT-060,Card Interactions,Swipe-up Forward,Swipe up on a card opens forward picker. Recipient sees forwarded border + sender's username pinned.,v1,Built (M1 web),00-core.md#card-interactions-gesture-xor-menu,M1 web ships gesture + toast; real picker modal is later v1 work.
FEAT-061,Card Interactions,Forward picker modal,"Modal contact list to choose forward recipient. Subject to ""Forward outside the troop"" feature gate.",v1,Spec'd,10-web.md#navigation--gestures,Currently a toast stub in M1 web.
FEAT-062,Card Interactions,Swipe left / right next-prev card,Horizontal swipe on touch / arrow keys on desktop advances feed.,v1,Built (M1 web),00-core.md#card-interactions-gesture-xor-menu,Native CSS scroll-snap on web.
FEAT-063,Card Interactions,Direct messages between profiles,Person-to-person threaded messaging.,v2,Deferred,00-core.md#deferred-to-v2,Deferred item 1.
FEAT-064,Borders,7 border kinds (color + pattern),"default(black/solid), ad(gray/dashed), forwarded(white/dotted), system(red/wavy), direct_contact(dark-green/double), friend_of_friend(light-green/thin), merchant(gold/chevron). Pattern is the accessibility primary; color enriches.",v1,Built (M1 web),00-core.md#border-encoding-color--pattern,M1 web renders all 7 via SVG. Snapshot tests required.
FEAT-065,Moderation,Layer 1 — automated pre-moderation on upload,"Image + caption text classifiers flag adult / violence / hate / PII. Flagged posts go to review queue and never appear in feed until cleared.",v1,Spec'd,00-core.md#content-moderation,~$1–3 per 1000 posts API budget at launch.
FEAT-066,Moderation,Layer 2 — manual report queue,"In-app reports route to the same review queue. Long-press menu always exposes block / report (never gateable).",v1,Spec'd,00-core.md#content-moderation,Block / report is the always-on row in the feature-gate matrix.
FEAT-067,Sensors,Geolocation capture,Device GPS / fused location populates geo_point on cards.,v1,Spec'd,00-core.md#sensor-fed-card-fields-overview,"Web: Geolocation API (opt-in); iOS: Core Location; Android: FusedLocation."
FEAT-068,Sensors,Barometric elevation,Barometer (or GPS-derived fallback) populates elevation_m.,v1,Spec'd,00-core.md#sensor-fed-card-fields-overview,"iOS: CMAltimeter; Android: TYPE_PRESSURE. Web: not populated, display only."
FEAT-069,Sensors,Compass heading,Magnetometer + gyroscope fused snapshot at capture moment populates compass_heading_deg.,v1,Spec'd,00-core.md#sensor-fed-card-fields-overview,"iOS: CMMotionManager; Android: TYPE_ROTATION_VECTOR. Calibration prompt when noisy."
FEAT-070,Sensors,Pedometer trail mode,"""Trail mode"" UI: tap to start at trailhead, tap to stop; distance attached to next card via trail_length_m.",v1,Spec'd,00-core.md#sensor-fed-card-fields-overview,"iOS: CMPedometer + HealthKit; Android: Health Connect / Google Fit fallback."
FEAT-071,Sensors,Ambient temperature (sensor or weather),"Native ambient-temp sensor when present; else weather-API fallback for the geo_point. ambient_temp_source records which.",v1,Spec'd,00-core.md#sensor-fed-card-fields-overview,"iOS: no native sensor — always weather (WeatherKit). Android: rare native sensor (some Samsung); else Open-Meteo."
FEAT-072,Sensors,Voice clip recording,Optional 15-second microphone capture attached to a card via voice_clip_url.,v1,Spec'd,00-core.md#the-card-data-model,Default off for new sub-profiles.
FEAT-073,Sensors,Web sensor read-only display,"Web client displays sensor fields when present on a card but does not populate them, except geo_point opportunistically.",v1,Spec'd,10-web.md#image-capture--upload,M1 web renders the sensor row when present on mock data.
FEAT-074,Auth,Phone-number SMS OTP,"Primary auth at the troop level. Supabase Auth (Twilio / MessageBird routed). Verified number is the leader's.",v1,Spec'd,00-core.md#auth,One auth identity per troop.
FEAT-075,Auth,Google OAuth,"Alternate auth at troop level. Web: Supabase redirect; iOS: expo-auth-session; Android: expo-auth-session.",v1,Spec'd,00-core.md#auth,Apple parity required on iOS if Google offered.
FEAT-076,Auth,Apple OAuth (Sign in with Apple),Mandatory on iOS if Google offered. Available on web and Android for parity.,v1,Spec'd,20-ios.md#auth,App Store Review Guideline 4.8 compliance.
FEAT-077,Backend,Supabase backend,"Managed Postgres + Auth + Storage + Realtime + Edge Functions.",v1,Spec'd,00-core.md#backend,Single backend across all three clients.
FEAT-078,Backend,Row-Level Security policies,"RLS on contacts / contact_matches / one_hop_grants / cards / troop_shared_contacts / profile_feature_gates / trips / trip_troops / trip_co_leaders / trip_shared_contacts / trip_profile_visibility. All keys profile-id.",v1,Spec'd,00-core.md#backend,Encodes the privacy invariants. Critical pre-flight test.
